Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
LIMCA,,,COCA COLA,,,,,,40,,,,LIMCA.JPG/.JPEG,,,,,,,,,,,,,
THUMS UP,,8.90E+12,COCA COLA,,,,,,40,,,,THUMSUP.JPG/.JPEG,,,,,,,,,,,,,
SPRITE,,8.90E+12,COCA COLA,,,,,,40,,,,SPRITE.JPG/.JPEG,,,,,,,,,,,,,
COKE 250ML,,,COCA COLA,,,,,,20,,,,COKEML.JPG/.JPEG,,,,,,,,,,,,,
SPRITE 250ML,,8.90E+12,COCA COLA,,,,,,20,,,,SPRITEML.JPG/.JPEG,,,,,,,,,,,,,
COKE 1.25L,,8.90E+12,COCA COLA,,,,,,65,,,,COKEL.JPG/.JPEG,,,,,,,,,,,,,
LIMCA 1.25L,,8.90E+12,COCA COLA,,,,,,65,,,,LIMCAL.JPG/.JPEG,,,,,,,,,,,,,
COKE,,,COCA COLA,,,,,,40,,,,COKE.JPG/.JPEG,,,,,,,,,,,,,
THUMSUP,,,COCA COLA,,,,,,20,,,,THUMSUP.JPG/.JPEG,,,,,,,,,,,,,
DIET COKE,,8.90E+12,COCA COLA,,,,,,35,,,,DIETCOKE.JPG/.JPEG,,,,,,,,,,,,,
PULPY ORANGE,,8.90E+12,COCA COLA,,,,,,20,,,,PULPYORANGE.JPG/.JPEG,,,,,,,,,,,,,
ZIG-ZAG BRUSH,,8.90E+12,COLGATE,,,,,,30,,,,ZIGZAGBRUSH.JPG/.JPEG,,,,,,,,,,,,,
TOOTHPASTE,,8.90E+12,COLGATE,,,,,,95,,,,TOOTHPASTEC.PNG,,,,,,,,,,,,,
TOOTHPASTE,,8.90E+12,COLGATE,,,,,,52,,,,TOOTHPASTEC.PNG,,,,,,,,,,,,,
TOOTHPASTE,,,COLGATE,,,,,,10,,,,TOOTHPASTEC.PNG,,,,,,,,,,,,,
PALMOLIVE LIQUID HAND WASH,,8.90E+12,COLGATE -PALMOLIVE,,,,,,99,,,,PALMOLIVELIQUIDHANDWASH.JPG/.JPEG,,,,,,,,,,,,,
COLGATE PLAX MOUTH WASH,,8.90E+12,COLGATE -PALMOLIVE,,,,,,120,,,,COLGATEPLAXMOUTHWASH.JPG/.JPEG,,,,,,,,,,,,,
COLGATE TOOTHPASTE JUMBO,,8.90E+12,COLGATE -PALMOLIVE,,,,,,217,,,,COLGATETOOTHPASTEJUMBO.JPG/.JPEG,,,,,,,,,,,,,
COLGATE TOOTHPASTE 200+100+BRUSH,,8.90E+12,COLGATE -PALMOLIVE,,,,,,147,,,,COLGATETOOTHPASTEBRUSH.JPG/.JPEG,,,,,,,,,,,,,
COLGATE MAXFRESH SPICY FRESH TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,164,,,,COLGATEMAXFRESHSPICYFRESHTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE MAXFRESH PEPPERMINT TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,164,,,,COLGATEMAXFRESHPEPPERMINTTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE HERBAL TOOTHPASTE ,,8.90E+12,COLGATE -PALMOLIVE,,,,,,100,,,,COLGATEHERBALTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE ACTIVE SALT NEEM TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,100,,,,COLGATEACTIVESALTNEEMTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE ACTIVE SALT TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,100,,,,COLGATEACTIVESALTTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE ACTIVE SALT TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,55,,,,COLGATEACTIVESALTTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE CHARCOAL CLEAN TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,99,,,,COLGATECHARCOALCLEANTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE VISIBLE WHITE TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,99,,,,COLGATEVISIBLEWHITETOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE CIBACA TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,55,,,,COLGATECIBACATOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE CIBACA VEDSHAKTI TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,50,,,,COLGATECIBACAVEDSHAKTITOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
COLGATE MAXFRESH SPICY FRESH TOOTHPASTE,,8.90E+12,COLGATE -PALMOLIVE,,,,,,92,,,,COLGATEMAXFRESHSPICYFRESHTOOTHPASTE.JPG/.JPEG,,,,,,,,,,,,,
