Name,Code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
BOROPLUS ANITSEPTIC CREAM,,8901248101424,EMAMI,,,,,, 115.00 ,,,,,,,,,,,,,,,,,
BOROPLUS ANITSEPTIC CREAM,,8901248101103,EMAMI,,,,,, 38.00 ,,,,,,,,,,,,,,,,,
BOROPLUS ANITSEPTIC CREAM,,8901248101110,EMAMI,,,,,, 70.00 ,,,,,,,,,,,,,,,,,
ZANDU PAIN RELIEF BALM,,8901248701105,EMAMI,,,,,, 37.00 ,,,,,,,,,,,,,,,,,
ZANDU ULTRA POWER PAIN RELIEF,,8901248701129,EMAMI,,,,,, 42.00 ,,,,,,,,,,,,,,,,,
ENO LEMON FLAVOUR (BOTTLE),,8901571001033,ENO,,,,,, 120.00 ,,,,,,,,,,,,,,,,,
ENO LEMON FLAVOUR (SACHET),,8901571006854,ENO,,,,,, 8.00 ,,,,,,,,,,,,,,,,,
SABJI MASALA,,8901786131006,EVEREST,,,,,, 54.00 ,,,,,,,,,,,,,,,,,
SABJI MASALA,,8901786130504,EVEREST,,,,,, 29.00 ,,,,,,,,,,,,,,,,,
FAIR & LOVELY,,8901030732423,FAIR & LOVELY,,,,,, 54.00 ,,,,,,,,,,,,,,,,,
FAIR & LOVELY,,8901030732430,FAIR & LOVELY,,,,,, 102.00 ,,,,,,,,,,,,,,,,,
TISSUE PAPER 1 PLY,,,FLORIA,,,,,, 56.00 ,,,,,,,,,,,,,,,,,
MUSTARD OIL 1LTRS,,8906007280969,FORTUNE,,,,,, 181.00 ,,,,,,,,,,,,,,,,,
SOYA OIL 1LTRS,,8906007280037,FORTUNE,,,,,, 130.00 ,,,,,,,,,,,,,,,,,
SUNFLOWER OIL 1LTRS,,8906007280242,FORTUNE,,,,,, 142.00 ,,,,,,,,,,,,,,,,,
JUMBO BASMATI RICE,,8906009590455,GALAXY,,,,,, 180.00 ,,,,,,,,,,,,,,,,,
DISPOSABLE GLASS WATER,,,GANPATI PLASTICS,,,,,, 5.00 ,,,,,,,,,,,,,,,,,
SENSODYNE RAPID RELIEF TOOTHPASTE,,8901571004829,GLOBAL HEALTHCARE,,,,,, 90.00 ,,,,,,,,,,,,,,,,,
SENSODYNE FRESH GEL TOOTHPASTE,,8901571004614,GLOBAL HEALTHCARE,,,,,, 110.00 ,,,,,,,,,,,,,,,,,
SENSODYNE FRESH MINT TOOTHPASTE,,8901571004096,GLOBAL HEALTHCARE,,,,,, 110.00 ,,,,,,,,,,,,,,,,,
EZEE,,8901023005800,GODREJ,,,,,, 49.00 ,,,,,,,,,,,,,,,,,
AER POCKET BATHROOM FRESHNER,,8901023014512,GODREJ,,,,,, 55.00 ,,,,,,,,,,,,,,,,,
EZEE LIQUID 2 IN 1,,8901023022012,GODREJ,,,,,, 230.00 ,,,,,,,,,,,,,,,,,
EZEE LIQUID WINTER AND CHIFFON,,8901023005817,GODREJ,,,,,, 90.00 ,,,,,,,,,,,,,,,,,
EZEE LIQUID WINTER AND CHIFFON,,8901023005800,GODREJ,,,,,, 49.00 ,,,,,,,,,,,,,,,,,
GOODNIGHT ACTIVE COIL,,8901157004342,GODREJ,,,,,, 34.00 ,,,,,,,,,,,,,,,,,
AER ROOM FRESHNER,,8901023019524,GODREJ,,,,,, 149.00 ,,,,,,,,,,,,,,,,,
AER ROOM FRESHNER,,8901157045093,GODREJ,,,,,, 149.00 ,,,,,,,,,,,,,,,,,
AER ROOM FRESHNER,,8901157045109,GODREJ,,,,,, 149.00 ,,,,,,,,,,,,,,,,,
NO. 1 BATH SOAP,,8901023007408,GODREJ,,,,,, 72.00 ,,,,,,,,,,,,,,,,,
FAIRGLOW BATH SOAP,,8901023011368,GODREJ,,,,,, 88.00 ,,,,,,,,,,,,,,,,,
CINTHOL BATH SOAP LIME,,8901023008177,GODREJ,,,,,, 124.00 ,,,,,,,,,,,,,,,,,
CINTHOL BATH SOAP COOL,,8901023004599,GODREJ,,,,,, 99.00 ,,,,,,,,,,,,,,,,,
PROTEKT HANDWASH BLUE,,8901023014222,GODREJ,,,,,, 115.00 ,,,,,,,,,,,,,,,,,
PROTEKT HANDWASH GREEN,,8901023014239,GODREJ,,,,,, 115.00 ,,,,,,,,,,,,,,,,,
GOODNIGHT MACHINE,,8901023019715,GOODNIGHT,,,,,, 89.00 ,,,,,,,,,,,,,,,,,
GOODNIGHT LIQUID,,8901023011719,GOODNIGHT,,,,,, 89.00 ,,,,,,,,,,,,,,,,,
GAINDA PHENYL BLACK,,8908003634029,GRAND CHEMICAL WORKS,,,,,, 350.00 ,,,,,,,,,,,,,,,,,
SUGAR,,808042000022,GREENS,,,,,, 60.00 ,,,,,,,,,,,,,,,,,
JEERA,,,GREENS,,,,,, 38.00 ,,,,,,,,,,,,,,,,,
DAL CHINI,,8906128400239,GREENS,,,,,, 50.00 ,,,,,,,,,,,,,,,,,
AJWAIN,,8906128400000,GREENS,,,,,, 48.00 ,,,,,,,,,,,,,,,,,
BLACK PEPPER,,,GREENS,,,,,, 98.00 ,,,,,,,,,,,,,,,,,
MUSTARD SEEDS,,,GREENS,,,,,, 26.00 ,,,,,,,,,,,,,,,,,
CLOVES,,,GREENS,,,,,, 80.00 ,,,,,,,,,,,,,,,,,
CLOVES,,8906128400567,GREENS,,,,,, 85.00 ,,,,,,,,,,,,,,,,,
DHANIYA SABUT,,8906128400260,GREENS,,,,,, 90.00 ,,,,,,,,,,,,,,,,,
MEETHI,,,GREENS,,,,,, 30.00 ,,,,,,,,,,,,,,,,,
MEETHI,,,GREENS,,,,,, 28.00 ,,,,,,,,,,,,,,,,,
RAI,,,GREENS,,,,,, 50.00 ,,,,,,,,,,,,,,,,,
CARDAMOM,,,GREENS,,,,,, 90.00 ,,,,,,,,,,,,,,,,,
SHAKKAR,,8906128400994,GREENS,,,,,, 55.00 ,,,,,,,,,,,,,,,,,
HORLICS,,8901571001354,GSK,,,,,, 242.00 ,,,,,,,,,,,,,,,,,
HORLICKS CLASSIC MALT TETRA,,8901571001996,GSK,,,,,, 229.00 ,,,,,,,,,,,,,,,,,
HORLICKS CLASSIC MALT BOTTLE,,8901571001354,GSK,,,,,, 242.00 ,,,,,,,,,,,,,,,,,
HORLICKS CLASSIC MALT BOTTLE,,8901571001361,GSK,,,,,, 454.00 ,,,,,,,,,,,,,,,,,
HORLICKS JUNIOR,,8901030820045,GSK,,,,,, 209.00 ,,,,,,,,,,,,,,,,,
HORLICK CHOCOLATE,,8901030812897,GSK,,,,,, 190.00 ,,,,,,,,,,,,,,,,,
