Name,code,Barcode Symbology,Brand,Category Code,Unit Code,Sale Unit Code, Purchase Unit Code,Cost,Price,Alert Quantity, Tax Rate Name,Tax Method,Image,Subcategory Code,Product Variants Separated by |,Custom Field 1,Custom Field 2,Custom Field 3,Custom Field 4,Custom Field 5,Custom Field 6,HSN Code,Secondary Name,Supplier Name,Supplier Part No,Supplier Price
JOHNSONS BABY SOAP,8901012116647,code128,JHONSON & JHONSON,C1,1111,,,52.00,52.00,,,,,,,,,,,,,,,Mr Demo Supplier,,52.00
PEPSODENT GERMICHECK+ TOOTHPASTE,8901030739057,code128,HUL,C1,1111,,,52.00,52.00,,,,,,,,,,,,,,,Mr Demo Supplier,,52.00
DABUR RED TOOTHPASTE,8901207027253,code128,DABUR,C1,1111,,,52.00,52.00,,,,,,,,,,,,,,,Mr Demo Supplier,,52.00
TOOTHPASTE,8901314010520,code128,COLGATE,C1,1111,,,52.00,52.00,,,,,,,,,,,,,,,Mr Demo Supplier,,52.00
COLGATE AMINO SHAKTI TOOTHPASTE,8901314010520,code128,COLGATE -PALMOLIVE,C1,1111,,,52.00,52.00,,,,,,,,,,,,,,,Mr Demo Supplier,,52.00
COLGATE SWARNA VEDSHAKTI TOOTHPASTE,8901314308085,code128,COLGATE -PALMOLIVE,C1,1111,,,52.00,52.00,,,,,,,,,,,,,,,Mr Demo Supplier,,52.00
JAL JEERA,8902167000010,code128,MDH,C1,1111,,,52.00,52.00,,,,,,,,,,,,,,,Mr Demo Supplier,,52.00
PAPAD,8904063251046,code128,HALDIRAM,C1,1111,,,52.00,52.00,,,,,,,,,,,,,,,Mr Demo Supplier,,52.00
TOPS PREMIUM VINEGAR,8904288601275,code128,TOPS,C1,1111,,,52.00,52.00,,,,,,,,,,,,,,,Mr Demo Supplier,,52.00
CHANA DAL ,8904043926629,code128,TATA SAMPANN,C1,1111,,,53.00,53.00,,,,,,,,,,,,,,,Mr Demo Supplier,,53.00
FAIR & LOVELY,8901030732423,code128,FAIR & LOVELY,C1,1111,,,54.00,54.00,,,,,,,,,,,,,,,Mr Demo Supplier,,54.00
GLOW & LOVELY ORIGINAL,8901030821516,code128,HUL,C1,1111,,,54.00,54.00,,,,,,,,,,,,,,,Mr Demo Supplier,,54.00
SABJI MASALA,8901786131006,code128,EVEREST,C1,1111,,,54.00,54.00,,,,,,,,,,,,,,,Mr Demo Supplier,,54.00
TOPS GREEN CHILLI SAUCE,8904288601367,code128,TOPS,C1,1111,,,54.00,54.00,,,,,,,,,,,,,,,Mr Demo Supplier,,54.00
TOPS SOYA SAUCE,8904288601428,code128,TOPS,C1,1111,,,54.00,54.00,,,,,,,,,,,,,,,Mr Demo Supplier,,54.00
AER POCKET BATHROOM FRESHNER,8901023014512,code128,GODREJ,C1,1111,,,55.00,55.00,,,,,,,,,,,,,,,Mr Demo Supplier,,55.00
KNORR HOT & SOUR VEGETABLE SOUP ,8901030516269,code128,HUL,C1,1111,,,55.00,55.00,,,,,,,,,,,,,,,Mr Demo Supplier,,55.00
KNORR MIXED VEGETABLE SOUP ,8901030516276,code128,HUL,C1,1111,,,55.00,55.00,,,,,,,,,,,,,,,Mr Demo Supplier,,55.00
KNORR THICK TOMATO SOUP ,8901030516306,code128,HUL,C1,1111,,,55.00,55.00,,,,,,,,,,,,,,,Mr Demo Supplier,,55.00
LUX BATH SOAP,8901030682339,code128,HUL,C1,1111,,,55.00,55.00,,,,,,,,,,,,,,,Mr Demo Supplier,,55.00
COLGATE ACTIVE SALT TOOTHPASTE,8901314009586,code128,COLGATE -PALMOLIVE,C1,1111,,,55.00,55.00,,,,,,,,,,,,,,,Mr Demo Supplier,,55.00
COLGATE CIBACA TOOTHPASTE,8901314081018,code128,COLGATE -PALMOLIVE,C1,1111,,,55.00,55.00,,,,,,,,,,,,,,,Mr Demo Supplier,,55.00
DETTOL ANTISEPTIC LIQUID,8901396350200,code128,RECKITT BENCKISER,C1,1111,,,55.00,55.00,,,,,,,,,,,,,,,Mr Demo Supplier,,55.00
GARNIER PURE ACTIVE PURE NEEM FACE WASH,8901526207480,code128,L'OREL,C1,1111,,,55.00,55.00,,,,,,,,,,,,,,,Mr Demo Supplier,,55.00
TISSUE PAPER 2 PLY,8906083862547,code128,CLARET,C1,1111,,,55.00,55.00,,,,,,,,,,,,,,,Mr Demo Supplier,,55.00
SHAKKAR,8906128400994,code128,GREENS,C1,1111,,,55.00,55.00,,,,,,,,,,,,,,,Mr Demo Supplier,,55.00
LIRIL BATH SOAP,8901030724350,code128,HUL,C1,1111,,,57.00,57.00,,,,,,,,,,,,,,,Mr Demo Supplier,,57.00
COLIN,8901396465003,code128,COLIN,C1,1111,,,58.00,58.00,,,,,,,,,,,,,,,Mr Demo Supplier,,58.00
MOOV PAIN RELIEF BALM,8901177100857,code128,RECKITT BENCKISER,C1,1111,,,59.00,59.00,,,,,,,,,,,,,,,Mr Demo Supplier,,59.00
VANISH LIQUID,8901396040606,code128,RECKITT BENCKISER,C1,1111,,,59.00,59.00,,,,,,,,,,,,,,,Mr Demo Supplier,,59.00
SHOW POLISH BLACK,8901396051008,code128,CHERRY,C1,1111,,,59.00,59.00,,,,,,,,,,,,,,,Mr Demo Supplier,,59.00
SHOW POLISH DARK TAN,8901396053002,code128,CHERRY,C1,1111,,,59.00,59.00,,,,,,,,,,,,,,,Mr Demo Supplier,,59.00
GARNIER LIGHT COMPLETE SERUM,8901526553419,code128,L'OREL,C1,1111,,,59.00,59.00,,,,,,,,,,,,,,,Mr Demo Supplier,,59.00
RAITA MASALA,8902167000355,code128,MDH,C1,1111,,,59.00,59.00,,,,,,,,,,,,,,,Mr Demo Supplier,,59.00
SUGAR,808042000022,code128,GREENS,C1,1111,,,60.00,60.00,,,,,,,,,,,,,,,Mr Demo Supplier,,60.00
