"Product Code","Product Name",Variant,Expected,Counted
8901030735738,"COMFORT FABRIC CONDITIONER LILY FRESH (PINK)",,1000.0000,
8901030736070,"GLOW & LOVELY AYURVEDIC",,1000.0000,
8901030736087,"GLOW & LOVELY AYURVEDIC",,1000.0000,
8901030738333,"SUNSILK BLACK SHINE SHAMPOO",,1000.0000,
8901030739057,"PEPSODENT GERMICHECK+ TOOTHPASTE",,1000.0000,
8901030739576,"FACEWASH WHITE BEAUTY",,1000.0000,
8901030740824,"FAIR & LOVELY BATH SOAP",,1000.0000,
8901030742651,"GLOW & HANDSOME",,1000.0000,
8901030745539,"SUNSILK THICK AND LONG SHAMPOO",,1000.0000,
8901030748066,"CLINIC PLUS SHAMPOO",,1000.0000,
8901030748110,"CLINIC PLUS SHAMPOO",,1000.0000,
8901030752384,"RIN POWDER",,1000.0000,
8901030752902,"LIPTON GREEN LABEL",,1000.0000,
8901030753817,"LAKME ABSOLUTE BRIGHTENING DAY CREAM",,1000.0000,
8901030756047,"KISSAN MIXED FRUIT JAM",,1000.0000,
8901030760587,"VIM LIQUID WASH",,1000.0000,
8901030760648,"VIM LIQUID WASH",,1000.0000,
8901030760655,"VIMLIQUID JAR",,1000.0000,
8901030764356,"DOVE DANDRUFF CARE SHAMPOO",,1000.0000,
8901030765353,KETCHUP,,1000.0000,
8901030767319,"LIFEBUOY HAND WASH",,1000.0000,
8901030767647,"FACEWASH PURE WHITE",,2000.0000,
8901030767654,"PONDS ANTI-POLLUTION FACE WASH",,1000.0000,
8901030770388,"DOVE BATH SOAP",,1000.0000,
8901030771262,"PEARS BATH SOAP",,1000.0000,
8901030771293,"PEARS BATH SOAP SUPER SAVER",,1000.0000,
8901030775901,"SUNSILK THICK AND LONG SHAMPOO",,1000.0000,
8901030777974,"FAIR & LOVELY MENS FACE WASH",,1000.0000,
8901030779299,"LIPTON GREEN TEA",,1000.0000,
8901030783029,COFFEE,,1000.0000,
8901030783678,"SURF EXCEL QUICK WASH",,1000.0000,
8901030786037,"POND'S WHITE BEAUTY",,1000.0000,
8901030786051,"POND'S WHITE BEAUTY",,1000.0000,
8901030788055,"CLOSEUP EVERFRESH+",,2000.0000,
8901030788062,"CLOSEUP EVERFRESH+ PACK OF 2",,1000.0000,
8901030788277,"CLOSEUP EVERFRESH+",,1000.0000,
8901030788307,"AXE SHAVING CREAM  COMBO",,1000.0000,
8901030789083,"CLINIC PLUS SHAMPOO",,1000.0000,
8901030789359,"SUNSILK BLACK SHINE SHAMPOO",,1000.0000,
8901030790751,"LAKME ABSOLUTE BRIGHTENING DAY CREAM",,1000.0000,
8901030793073,"LUX 4+1 SOAP",,1000.0000,
8901030793387,"LUX 4+1 SOAP",,1000.0000,
8901030794131,"FACEWASH WHITE BEAUTY",,2000.0000,
8901030794148,"PONDS WHITE BEAUTY FACE WASH",,1000.0000,
8901030794193,KETCHUP,,1000.0000,
8901030795589,"DOVE BATH SOAP",,1000.0000,
8901030795664,"SURF EXCEL QUICK WASH",,1000.0000,
8901030807299,"SURF EXCEL EASY WASH",,1000.0000,
8901030810244,"LIFEBUOY SANITIZER",,1000.0000,
8901030812897,"HORLICK CHOCOLATE",,1000.0000,
8901030812972,"VIM BAR",,1000.0000,
8901030813405,"LIFEBUOY SANITIZER",,1000.0000,
8901030815409,"LIFEBUOY HAND WASH",,1000.0000,
8901030816611,"SURF EXCEL MATIC TOP LOAD",,1000.0000,
8901030820045,"HORLICKS JUNIOR",,1000.0000,
8901030821394,"FAIR & LOVELY INSTANT GLOW FACE WASH",,1000.0000,
8901030821516,"GLOW & LOVELY ORIGINAL",,1000.0000,
8901030821523,"GLOW & LOVELY ORIGINAL",,1000.0000,
8901030821530,"GLOW & LOVELY ORIGINAL",,1000.0000,
8901030822162,"GLOW & HANDSOME",,1000.0000,
8901042954714,"SAMBHAR POWDER",,1000.0000,
8901042957074,"RAVA IDLI",,1000.0000,
8901042957968,DOSA,,1000.0000,
8901042968223,UPMA,,1000.0000,
8901052000807,"TATA GOLD TEA",,1000.0000,
8901052000913,"TATA GOLD TEA",,1000.0000,
8901052004539,"TATA PREMIUM TEA",,1000.0000,
8901052004584,"TATA PREMIUM TEA",,1000.0000,
8901052010615,"TATA PREMIUM TEA",,1000.0000,
8901058101577,"MAGGI RICH TOMATO SAUCE",,1000.0000,
8901058101614,"MAGGI HOT & SWEET SAUCE",,1000.0000,
8901058107487,"MAGGI RICH TOMATO SAUCE",,1000.0000,
8901058117783,"MAGGI HOT & SWEET SAUCE",,1000.0000,
8901058826784,COFFEE,,1000.0000,
8901058851311,"MAAGIE MASALA 4 PACK",,1000.0000,
8901058851328,"MAAGIE MASALA 6 PACK",,1000.0000,
8901058856163,"NESTLE LACTOGEN 2 BABY FOOD",,1000.0000,
8901058859744,"NESTLE NAN PRO 4 BABY FOOD",,1000.0000,
8901058859768,"NESTLE NAN PRO 2 BABY FOOD",,1000.0000,
8901058859775,"NESTLE NAN PRO 1 BABY FOOD",,1000.0000,
8901058865073,"NESTLE LACTOGEN 3 BABY FOOD",,1000.0000,
8901058865318,"NESTLE LACTOGEN 1 BABY FOOD",,1000.0000,
8901058865776,"CERELAC RICE BABY FOOD",,1000.0000,
8901058866711,"MAGGIE ATTA",,1000.0000,
8901058867466,"CERELAC WHEAT APPLE  BABY FOOD",,1000.0000,
8901058867503,"CERELAC WHEAT APPLE CHERRY BABY FOOD",,1000.0000,
8901058867541,"CERELAC WHEAT-RICE MIXED FRUIT BABY FOOD",,1000.0000,
8901058867589,"CERELAC MULTRIGRAIN DAL BABY FOOD",,1000.0000,
8901058867596,"CERELAC MULTRIGRAIN FRUIT BABY FOOD",,1000.0000,
8901058867688,"CERELAC MULTRIGRAIN CEREAL MILK & FRUIT BABY FOOD",,1000.0000,
8901063016699,50-50,,998.0000,
8901063023901,"MARI GOLD",,1000.0000,
8901063092402,"GOOD DAY",,1000.0000,
8901063139213,BOURBON,,1000.0000,
8901063142015,"NUTRI CHOICE",,1000.0000,
8901088002851,"REVIVE INSTANT STARCH",,1000.0000,
8901088017381,"REFINED GOLD",,1000.0000,
8901088057097,"REVIVE LIQUID STIFFENER",,1000.0000,
8901088068734,"MASALA OATS",,1000.0000,
8901088068758,"MASALA OATS",,1000.0000,
8901088129800,"MASALA OATS",,1000.0000,
8901088129817,"MASALA OATS",,1000.0000,
8901088702522,"REVIVE INSTANT STARCH",,1000.0000,
8901120141012,"EVERYUTH WALNUT SCRUB",,1000.0000,
8901120141029,"EVERYUTH WALNUT SCRUB",,1000.0000,
8901131721722,CORNFLAKES,,1000.0000,
8901138511449,"HIMALAYA GENTLE BABY SHAMPOO",,1000.0000,
8901138511456,"HIMALAYA GENTLE BABY SHAMPOO",,1000.0000,
8901138511463,"HIMALAYA GENTLE BABY LOTION",,1000.0000,
8901138511470,"HIMALAYA GENTLE BABY LOTION",,1000.0000,
8901138511487,"HIMALAYA BABY CREAM",,1000.0000,
8901138511494,"HIMALAYA BABY CREAM",,1000.0000,
8901138511739,"HIMALAYA GENTLE BABY MASSAGE OIL",,1000.0000,
8901138511814,"HIMALAYA GENTLE BABY POWDER",,1000.0000,
8901138511838,"HIMALAYA GENTLE BABY SOAP",,1000.0000,
8901138512187,"HIMALAYA NEEM FACE WASH",,1000.0000,
8901138512408,"HIMALAYA GENTLE BABY MASSAGE OIL",,1000.0000,
8901138512460,"HIMALAYA NEEM FACE WASH",,1000.0000,
8901138512576,"HIMALAYA GENTLE BABY SHAMPOO",,1000.0000,
8901138512606,"HIMALAYA GENTLE BABY SOAP",,1000.0000,
8901138512903,"HIMALAYA GENTLE BABY WASH",,1000.0000,
8901138513153,"HIMALAYA GENTLE BABY POWDER",,1000.0000,
8901138513184,"HIMALAYA GENTLE BABY WIPES",,1000.0000,
8901138815936,"HIMALAYA ANIT-HAIR FALL SHAMPOO",,1000.0000,
8901138815943,"HIMALAYA ANIT-HAIR FALL SHAMPOO",,1000.0000,
8901138822477,"HIMALAYA NEEM FACE WASH",,1000.0000,
8901138824037,"HIMALAYA GENTLE BABY POWDER",,1000.0000,
8901138836078,"HIMALYA SENSITIVE TOOTHPASTE",,1000.0000,
8901138836092,"HIMALYA COMPLETE CARE TOOTHPASTE",,1000.0000,
8901138836108,"HIMALYA COMPLETE CARE TOOTHPASTE",,1000.0000,
8901138836115,"HIMALYA SPARKLING WHITE TOOTHPASTE",,1000.0000,
8901138836122,"HIMALYA SPARKLING WHITE TOOTHPASTE",,1000.0000,
8901138844745,"HANDWASH REFILL",,1000.0000,
8901157004342,"GOODNIGHT ACTIVE COIL",,1000.0000,
8901157025071,"LAL HIT",,1000.0000,
8901157025170,"KALA HIT",,1000.0000,
8901157025194,"LAL HIT",,1000.0000,
8901157025200,"LAL HIT",,1000.0000,
8901157045093,"AER ROOM FRESHNER",,1000.0000,
8901157045109,"AER ROOM FRESHNER",,1000.0000,
8901177003530,"DERMI COOL POWDER + Dettol SOAP",,1000.0000,
8901177100352,"MOOV PAIN RELIEF SPRAY",,1000.0000,
8901177100857,"MOOV PAIN RELIEF BALM",,1000.0000,
8901207001635,"CHAWANPRASH SUGARFREE",,1000.0000,
8901207005374,HONEY,,2000.0000,
8901207005671,"CHAWANPRASH SUGARFREE",,1000.0000,
8901207025365,HONEY,,2000.0000,
8901207025372,HONEY,,2000.0000,
8901207025389,HONEY,,998.0000,
8901207026553,"HONEY SQUEEZY",,1000.0000,
8901207027253,"DABUR RED TOOTHPASTE",,1000.0000,
8901207027321,"DABUR RED TOOTHPASTE",,1000.0000,
8901207029875,"BATHROOM FRESHENER",,1000.0000,
8901207033377,"DABUR MESWAK TOOTHPASTE",,1000.0000,
8901207500046,"ODOMOS MOSQUITO REPELLENT",,1000.0000,
8901207500053,"ODOMOS MOSQUITO REPELLENT",,1000.0000,
8901207900631,CHAWANPRASH,,2000.0000,
8901207900648,CHAWANPRASH,,1000.0000,
8901207900839,HAJMOLA,,1000.0000,
8901216406285,"KAMASUTRA LONGLAST CONDOMS",,1000.0000,
8901216406308,"KAMASUTRA INTENSITY CONDOMS",,1000.0000,
8901216406346,"KAMASUTRA DOTTED CONDOMS",,1000.0000,
8901216406353,"KAMASUTRA RIBBED CONDOMS",,1000.0000,
8901216406650,"KAMASUTRA BUTTERSCOTCH CONDOMS",,1000.0000,
8901216406667,"KAMASUTRA VANILLA CONDOMS",,1000.0000,
8901216406674,"KAMASUTRA COFFEE CONDOMS",,1000.0000,
8901216406681,"KAMASUTRA BANANA CONDOMS",,1000.0000,
8901216406865,"KAMASUTRA DOTT MAX CONDOMS",,1000.0000,
8901216406902,"KAMASUTRA ORANGE CONDOMS",,1000.0000,
8901216406940,"KAMASUTRA PINEAPPLE CONDOMS",,1000.0000,
8901216406964,"KAMASUTRA VARIETY PACK CONDOMS",,1000.0000,
8901216713017,"KAMASUTRA SPARK DEO",,999.0000,
8901233036625,"5 STAR CHOCLATE",,999.0000,
8901242114406,VERMICELLI,,1000.0000,
8901246002167,"OLIVE OIL",,1000.0000,
8901248101103,"BOROPLUS ANITSEPTIC CREAM",,1000.0000,
8901248101110,"BOROPLUS ANITSEPTIC CREAM",,1000.0000,
8901248101424,"BOROPLUS ANITSEPTIC CREAM",,1000.0000,
8901248101431,"BOROPLUS ANITSEPTIC CREAM",,1000.0000,
8901248121330,"NAVRATAN COOL BLAST POWDER",,1000.0000,
8901248701105,"ZANDU PAIN RELIEF BALM",,1000.0000,
8901248701112,"ZANDU BALM",,1000.0000,
8901248701129,"ZANDU ULTRA POWER PAIN RELIEF",,1000.0000,
8901255000185,"AA BATTERY",,1000.0000,
8901262030700,GHEE,,1000.0000,
8901262080019,"AMULSPRAY INFANT FOOD",,1000.0000,
8901262151573,"FLAVOURED MILK ELAICHI",,1000.0000,
8901277012685,"BEER SHAMPOO DAMAGE FREE",,1000.0000,
8901277016393,"PARK AVENUE AFTER SHAVE LOTION",,1000.0000,
8901277016997,"PARK AVENUE VOYAGE DEO",,1000.0000,
8901314006172,"PALMOLIVE LIQUID HAND WASH",,999.0000,
8901314009081,"COLGATE ACTIVE SALT TOOTHPASTE",,1000.0000,
8901314009319,"COLGATE ACTIVE SALT NEEM TOOTHPASTE",,1000.0000,
8901314009586,"COLGATE ACTIVE SALT TOOTHPASTE",,1000.0000,
8901314010025,BOURNVITA,,3000.0000,
8901314010131,"COLGATE TOOTHPASTE 200+100+BRUSH",,1000.0000,
8901314010520,"COLGATE AMINO SHAKTI TOOTHPASTE",,3000.0000,
8901314011664,"ZIG-ZAG BRUSH",,1000.0000,
8901314022660,"COLGATE KIDS TOOTHPASTE",,1000.0000,
8901314077790,"COLGATE VISIBLE WHITE TOOTHPASTE",,1000.0000,
8901314077998,"COLGATE PLAX MOUTH WASH",,1000.0000,
8901314081018,"COLGATE CIBACA TOOTHPASTE",,1000.0000,
8901314308085,"COLGATE SWARNA VEDSHAKTI TOOTHPASTE",,1000.0000,
8901314308108,"COLGATE MAXFRESH SPICY FRESH TOOTHPASTE",,1000.0000,
8901314309914,"COLGATE MAXFRESH SPICY FRESH TOOTHPASTE",,1000.0000,
8901314309921,"COLGATE MAXFRESH PEPPERMINT TOOTHPASTE",,1000.0000,
8901314310033,"COLGATE HERBAL TOOTHPASTE",,1000.0000,
8901314311948,"COLGATE CIBACA VEDSHAKTI TOOTHPASTE",,1000.0000,
8901314312822,"COLGATE CHARCOAL CLEAN TOOTHPASTE",,1000.0000,
8901314524010,"COLGATE MAXFRESH PEPPERMINT TOOTHPASTE",,1000.0000,
8901314543172,"COLGATE TOOTHPASTE JUMBO",,1000.0000,
8901361302456,"SCOTCH BRITE",,1000.0000,
8901396040309,"VANISH POWDER",,1000.0000,
8901396040408,"VANISH POWDER",,1000.0000,
8901396040606,"VANISH LIQUID",,1000.0000,
8901396040705,"VANISH LIQUID",,1000.0000,
8901396051008,"SHOW POLISH BLACK",,1000.0000,
8901396053002,"SHOW POLISH DARK TAN",,1000.0000,
8901396055006,"SHOE POLISH LIQUID BLACK",,1000.0000,
8901396056003,"SHOE POLISH LIQUID DARK TAN",,1000.0000,
8901396117001,"LIZOL SURFACE CLEANER",,1000.0000,
8901396117407,"LIZOL SURFACE CLEANER",,1000.0000,
8901396140009,"LIZOL SURFACE CLEANER",,1000.0000,
8901396151005,"HARPIC TOILET CLEANER",,1000.0000,
8901396153009,"HARPIC WHITE & SHINE",,1000.0000,
8901396153306,"HARPIC BATHROOM CLEANER",,1000.0000,
